번호,상품명,대분류명,중분류명,소분류명,제조사명,총용량,총용량명,단위용량,단위용량명,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12
1,샘표소면(1.1kg),가공식품,곡물가공품,국수,샘표,1100,g,100,g,,2996,2699,2960,2969,2909,3014,2564,3014,3013,3013,3013
2,샘표소면(650g),가공식품,곡물가공품,국수,샘표,650,g,100,g,,1539,1573,1488,1524,1534,1557,1514,1510,1517,1515,1511
3,샘표소면(900g),가공식품,곡물가공품,국수,샘표,900,g,100,g,,2401,2204,2267,2318,2271,2308,2385,2383,2412,2400,2400
4,옛날국수소면,가공식품,곡물가공품,국수,오뚜기,900,g,100,g,,2418,2341,2235,2094,1978,1959,1991,2175,2357,2298,2222
5,찰국수소면,가공식품,곡물가공품,국수,CJ제일제당,900,g,100,g,,2238,2364,2312,2315,2241,2220,2158,2155,2074,2132,2196
6,새참물만두(1000g),가공식품,곡물가공품,냉동만두,동원,1000,g,100,g,,6482,6529,6956,6889,6874,6676,5963,5918,6195,6527,7031
7,새참물만두(300g),가공식품,곡물가공품,냉동만두,동원,300,g,100,g,,5347,3570,2980,2980,2980,2980,2980,2980,2980,2980,2980
8,생야채돼지고기물만두(400g*2봉),가공식품,곡물가공품,냉동만두,CJ제일제당,800,g,100,g,,7102,7180,7193,6840,6864,6739,6856,6871,6931,6988,7069
9,생야채돼지고기물만두(650g+200g),가공식품,곡물가공품,냉동만두,CJ제일제당,850,g,100,g,,7268,7113,5994,7346,7904,7430,7608,7550,7713,7394,7423
10,생야채물만두(250g*3),가공식품,곡물가공품,냉동만두,풀무원,750,g,100,g,,,7292,6145,5870,7647,7680,7730,7980,7980,7980,7815
11,생야채물만두(700g),가공식품,곡물가공품,냉동만두,풀무원,700,g,100,g,,8568,8513,8459,8381,8431,8336,8310,7412,8181,8365,8623
12,CJ햇당면 ,가공식품,곡물가공품,당면,CJ제일제당,500,g,100,g,3742,3582,3892,3972,4010,4056,4063,4088,3518,3871,3909,3961
13,옛날당면,가공식품,곡물가공품,당면,오뚜기,500,g,100,g,3505,3521,3870,3939,3910,3934,3957,3937,3895,4006,3899,4318
14,고소한국산콩두부(부침용)(대상),가공식품,곡물가공품,두부,대상FNF,380,g,100,g,2726,2696,2666,2643,2655,2634,2588,2644,2693,2667,2725,2646
15,옛맛두부(부침용),가공식품,곡물가공품,두부,풀무원,420,g,100,g,2744,2786,2874,2890,2913,2942,2984,2947,2946,2962,2949,2960
16,행복한콩 깊은바다두부(부침용)(CJ),가공식품,곡물가공품,두부,CJ제일제당,330,g,100,g,2530,2460,2450,2375,2287,2269,2396,2465,2414,2327,2230,2276
17,삼양라면 5개입,가공식품,곡물가공품,라면,삼양식품,5,개,1,개,2679,2204,2290,2609,2817,2715,2813,2835,2843,2840,2843,2842
18,신라면,가공식품,곡물가공품,라면,농심,5,개,1,개,2945,2819,2898,2922,2947,2946,2914,2937,2942,2950,2943,2925
19,진라면(순한맛) 5개입,가공식품,곡물가공품,라면,오뚜기,5,개,1,개,2817,2822,2797,2778,2760,2686,2780,2695,2768,2764,2710,2780
20,곰표 중력밀가루  ,가공식품,곡물가공품,밀가루,대한제분,1000,g,100,g,,1407,1190,1101,1072,1078,1180,1189,1153,1190,1163,1086
21,백설 중력밀가루(1kg),가공식품,곡물가공품,밀가루,CJ제일제당,1000,g,100,g,1393,1270,1190,1163,1097,1189,1176,1122,1216,1203,1134,1121
22,큐원 영양강화밀가루(1kg),가공식품,곡물가공품,밀가루,삼양사,1000,g,100,g,1489,1629,1234,1165,1158,1116,1080,1067,1143,1157,1112,1105
23,백설부침가루(1kg),가공식품,곡물가공품,부침가루,CJ제일제당,1000,g,100,g,2092,1912,2012,2077,2035,1981,1836,2063,1813,2062,1992,1988
24,오뚜기부침가루(1kg),가공식품,곡물가공품,부침가루,오뚜기,1000,g,100,g,1946,1874,1983,2148,2091,2055,2013,2133,1843,2117,2083,2058
25,기린바로구워토스트,가공식품,곡물가공품,식빵,기린식품,350,g,100,g,,1475,1269,1083,1069,1188,1296,1334,1437,1379,1291,1318
26,부드러운숙식빵,가공식품,곡물가공품,식빵,샤니,380,g,100,g,,1485,1420,1317,1358,1395,1301,1319,1422,1417,1403,1391
27,신선한생크림식빵,가공식품,곡물가공품,식빵,삼립식품,315,g,100,g,,1470,1290,1438,1435,1396,1443,1408,1454,1392,1454,1450
28,켈로그 콘푸로스트(600g),가공식품,곡물가공품,씨리얼,농심,600,g,100,g,,,4702,4621,4782,4576,4420,5345,5202,5174,4545,4676
29,포스트 콘푸라이트(600g),가공식품,곡물가공품,씨리얼,동서식품,600,g,100,g,,,4908,4952,4777,4793,4679,4787,4799,5093,4522,4893
30,맛있는오뚜기밥(3+2),가공식품,곡물가공품,즉석밥,오뚜기,1050,g,100,g,,,3597,3421,3326,3235,3092,3415,3311,3342,3308,3635
